service_id,date,exception_type
1112527,20230807,1
1112527,20230808,1
1112527,20230809,1
1112527,20230810,1
1112527,20230811,1
1112527,20230814,1
1112527,20230816,1
1112527,20230817,1
1112527,20230818,1
1112527,20230821,1
1112527,20230822,1
1112527,20230823,1
1112527,20230824,1
1112527,20230825,1
1112527,20230828,1
1112527,20230829,1
1112527,20230830,1
1112527,20230831,1
1112527,20230901,1
1112528,20230807,1
1112528,20230808,1
1112528,20230809,1
1112528,20230810,1
1112528,20230811,1
1112528,20230814,1
1112528,20230816,1
1112528,20230817,1
1112528,20230818,1
1112528,20230821,1
1112528,20230822,1
1112528,20230823,1
1112528,20230824,1
1112528,20230825,1
1112528,20230828,1
1112528,20230829,1
1112528,20230830,1
1112528,20230831,1
1112528,20230901,1
1112530,20230807,1
1112530,20230808,1
1112530,20230809,1
1112530,20230810,1
1112530,20230811,1
1112530,20230814,1
1112530,20230816,1
1112530,20230817,1
1112530,20230818,1
1112530,20230821,1
1112530,20230822,1
1112530,20230823,1
1112530,20230824,1
1112530,20230825,1
1112530,20230828,1
1112530,20230829,1
1112530,20230830,1
1112530,20230831,1
1112530,20230901,1
1112531,20230807,1
1112531,20230808,1
1112531,20230809,1
1112531,20230810,1
1112531,20230811,1
1112531,20230814,1
1112531,20230816,1
1112531,20230817,1
1112531,20230818,1
1112531,20230821,1
1112531,20230822,1
1112531,20230823,1
1112531,20230824,1
1112531,20230825,1
1112531,20230828,1
1112531,20230829,1
1112531,20230830,1
1112531,20230831,1
1112531,20230901,1
1112532,20230807,1
1112532,20230808,1
1112532,20230809,1
1112532,20230810,1
1112532,20230811,1
1112532,20230814,1
1112532,20230816,1
1112532,20230817,1
1112532,20230818,1
1112532,20230821,1
1112532,20230822,1
1112532,20230823,1
1112532,20230824,1
1112532,20230825,1
1112532,20230828,1
1112532,20230829,1
1112532,20230830,1
1112532,20230831,1
1112532,20230901,1
1112533,20230807,1
1112533,20230808,1
1112533,20230809,1
1112533,20230810,1
1112533,20230811,1
1112533,20230814,1
1112533,20230816,1
1112533,20230817,1
1112533,20230818,1
1112533,20230821,1
1112533,20230822,1
1112533,20230823,1
1112533,20230824,1
1112533,20230825,1
1112533,20230828,1
1112533,20230829,1
1112533,20230830,1
1112533,20230831,1
1112533,20230901,1
1112534,20230807,1
1112534,20230808,1
1112534,20230809,1
1112534,20230810,1
1112534,20230811,1
1112534,20230814,1
1112534,20230816,1
1112534,20230817,1
1112534,20230818,1
1112534,20230821,1
1112534,20230822,1
1112534,20230823,1
1112534,20230824,1
1112534,20230825,1
1112534,20230828,1
1112534,20230829,1
1112534,20230830,1
1112534,20230831,1
1112534,20230901,1
1112535,20230807,1
1112535,20230808,1
1112535,20230809,1
1112535,20230810,1
1112535,20230811,1
1112535,20230814,1
1112535,20230816,1
1112535,20230817,1
1112535,20230818,1
1112535,20230821,1
1112535,20230822,1
1112535,20230823,1
1112535,20230824,1
1112535,20230825,1
1112535,20230828,1
1112535,20230829,1
1112535,20230830,1
1112535,20230831,1
1112535,20230901,1
1112536,20230807,1
1112536,20230808,1
1112536,20230809,1
1112536,20230810,1
1112536,20230811,1
1112536,20230814,1
1112536,20230816,1
1112536,20230817,1
1112536,20230818,1
1112536,20230821,1
1112536,20230822,1
1112536,20230823,1
1112536,20230824,1
1112536,20230825,1
1112536,20230828,1
1112536,20230829,1
1112536,20230830,1
1112536,20230831,1
1112536,20230901,1
1112537,20230807,1
1112537,20230808,1
1112537,20230809,1
1112537,20230810,1
1112537,20230811,1
1112537,20230814,1
1112537,20230816,1
