"OBJECTID *","Shape *","LINK_ID","ST_NAME","FUNC_CLASS","TO_SPD_LIM","FR_SPD_LIM","FROM_LANES","TO_LANES","LANE_CAT","DIR_TRAVEL","PHYS_LANES","AR_AUTO","AR_BUS","AR_PEDEST","AR_TRUCKS","AR_TRAFF","AR_EMERVEH","AR_MOTOR","ROUNDABOUT","Shape_Length","NOM_ETUDE","DATE_ETUDE","TYPE_VEH","LEN_KM_GEO","Note_NbVoie","NB_PASSAGE_TP","Note_ArretTP","TYPE_CARR","Note_Carrefour","NB_OBSTACLE","Note_Obstacle","Note_Vitesse","CONG_RSI_T","CONG_RSI_F","Note_Congestion","IMPACT_CHANTIER","DEBUT_CHANTIER","FIN_CHANTIER","DUREE_CHANTIER","Note_Chantier","LIM_HAUT","LIM_POIDS","LIM_ChESSIEU","LIM_LONG","LIM_LARG","Note_Gabarit","ACCES_PJOUR","Note_Horaire","Sum places_int","Note_Stationnement","PENTE_MAX","Note_Pente","CIR_MOY","CIR_MOY_pond","CIR_MOY_norm","RATIO_HIE","ACC_MOY","ACC_MOY_pond","ACC_MOY_norm","POI_COUNT"
"1824","Polyline","57983602","RUE ALSACE-LORRAINE","5","20","0","0","0","1","T","0","Y","Y","Y","Y","Y","Y","Y","N","0.00032","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.035563","1","0","3","Prioritaire","3","0","3","1","1","0","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","1.490622","3","2.428571","2.428571","0.714286","300","2.5","2.5","0.75","21"
"2035","Polyline","57983972","RUE ALSACE-LORRAINE","5","10","10","0","0","1","B","0","N","N","Y","N","N","Y","N","N","0.00034","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.037775","2","0","3","Prioritaire","3","0","3","1","1","1","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","16.714286","3","2","1","0.497423","3","2.571429","2.571429","0.785714","300","2.5","2.5","0.75","51"
"5663","Polyline","57999572","RUE ALSACE-LORRAINE","5","30","0","0","0","1","T","0","Y","Y","Y","Y","Y","Y","Y","N","0.00032","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.035563","1","0","3","Prioritaire","3","0","3","3","0.822","0","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.998361","3","2.714286","2.714286","0.857143","300","2.5","2.5","0.75","1"
"10787","Polyline","746592430","RUE ALSACE-LORRAINE","5","0","30","0","0","1","F","0","Y","Y","Y","Y","Y","Y","Y","N","0.00038","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.04222","1","0","3","Prioritaire","3","0","3","3","0","0.3","1","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.95647","3","2.428571","2.428571","0.714286","300","2.5","2.5","0.75","31"
"11205","Polyline","799920035","RUE ALSACE-LORRAINE","5","0","0","0","0","1","B","0","N","N","Y","N","N","Y","N","N","0.0001","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.01111","2","0","3","Prioritaire","3","0","3","1","1","1","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","1.125785","3","2.571429","2.571429","0.785714","300","2.5","2.5","0.75","1"
"14514","Polyline","847725463","RUE ALSACE-LORRAINE","5","0","30","0","0","1","F","3","Y","Y","Y","Y","Y","Y","Y","N","0.00061","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.067779","3","0","3","Prioritaire","3","0","3","3","0","0.5568","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","1.275905","3","2.857143","2.857143","0.928571","300","2.5","2.5","0.75","31"
"24352","Polyline","1112653073","RUE ALSACE-LORRAINE","5","10","10","0","0","1","B","0","N","N","Y","N","N","Y","N","N","0.000891","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.098947","2","0","3","Prioritaire","3","0","3","1","1","1","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","16.714286","3","2","1","0.319396","3","2.571429","2.571429","0.785714","300","2.5","2.5","0.75","81"
"35007","Polyline","1308598898","RUE ALSACE-LORRAINE","5","0","0","0","0","1","B","0","N","N","Y","N","N","Y","N","N","0.00049","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.054441","2","0","3","Prioritaire","3","0","3","1","1","1","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","2.017874","3","2.571429","2.571429","0.785714","300","2.5","2.5","0.75","61"
"35008","Polyline","1308598899","RUE ALSACE-LORRAINE","5","0","0","0","0","1","B","0","N","N","Y","N","N","Y","N","N","8.0E-5","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.008888","2","0","3","Prioritaire","3","0","3","1","1","0.932","3","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.88665","3","2.571429","2.571429","0.785714","300","2.5","2.5","0.75","1"
"35009","Polyline","1308598900","RUE ALSACE-LORRAINE","5","0","0","0","0","1","B","0","N","N","Y","N","N","Y","N","N","7.0E-5","ETUDE_TOULOUSE","7/10/2023 9:18","PL","0.007777","2","0","3","Prioritaire","3","0","3","1","0.6736","1","2","Aucun","<Null>","<Null>","0","3","Aucun","Aucun","Aucun","Aucun","Aucun","3","24","3","2","1","0.462516","3","2.428571","2.428571","0.714286","300","2.5","2.5","0.75","1"
